author_channel_id,author_display_name,network_community,behavior_cluster,persona
UCJoO-Cc3f8ngdy3vOioGVpw,@agbornahjonathan1683,1,3,Casual Viewer
UCK3LUCzhoXITAKIzz5Plo_Q,@samuelsongomes,1,3,Casual Viewer
UCGSVEshVlwrtKePTdyvxNuA,@CaowmsuehNaowmsus,1,3,Casual Viewer
UCX0dkeHeJAYQr77LKEicsGw,@irisjeremie1939,1,3,Casual Viewer
UCF7XKVmLWwwyB-GAtdStldA,@daily_2DStories1228,1,3,Casual Viewer
UCmgNb5BsQ3rybZlDgR94zeQ,@rajupramanik6190,1,3,Casual Viewer
UCCBr1XNVEDMWMu4b-4ZX0PQ,@iabid_467,2,3,Casual Viewer
UCG_OMkzXEr0RWfEnSZ9L9Ug,@WealthGameTheory,2,0,Casual Viewer
UCJVuXIC4HQv9oi1ve0KoMDA,@Sheria-l1v,2,3,Casual Viewer
UCxI2KteOZWkNX0UKB3XNk0w,@PlamersDaniels,2,3,Casual Viewer
UC-4bgRet1f4PVHdPD3KRXMg,@ValentimGuenduoa,4,3,Casual Viewer
UC1TOpNwaDxEl90H-fYR42ig,@FortuneFiles.Channel1,4,3,Casual Viewer
UCb0As0QNbzjpGYHzuoJ1m1Q,@linchelsea-k7u,4,3,Casual Viewer
UC-lSRIKWBbzGcLzArRSK--Q,@kookoo6128,8,3,Casual Viewer
UC9t_6W9U_heB7QpmjHBniLw,@danadian100,8,3,Casual Viewer
UCnh8cWVXpJgdDGhubQNK_gw,@DearMoney_Vibe,8,2,Casual Viewer
UCu6IEeLkXBH0G3KvFuPdMJg,@phungkhanhlam7627,8,0,Casual Viewer
UCAy6wjxaOYfvhMSD0q52nWw,@AkashThiyagalingam,9,3,Casual Viewer
UCkqly0_bijRjXzluYcf9HrQ,@Mdsamim-go8rp,9,3,Casual Viewer
UCOQiH3JyByU4fNjnoIFx3xQ,@wayneswildworld,9,0,Casual Viewer
UC5flm1IKZBH3vAPRe_mZGDA,@nazty121,9,3,Casual Viewer
UCS92tLj64RgGijtVLQZPe6g,@garfaaldo,9,0,Casual Viewer
UC4tIWEGOkTiyM1hEzOgnLhQ,@rulegacyp,13,3,Casual Viewer
UCGM9aQLJEVgZiPpCVV0U00A,@AshokKumar-iw6pp,13,3,Casual Viewer
UCFy9qzBA4bN-V6aFOs3RAYQ,@BukkyEssien,13,1,Conversation Starter
UCqdiye3D5OmIDiLxixJQYog,@TheMattez79,13,2,Casual Viewer
UCT2UWg0jowBAqZEF9jUSp5Q,@diegodmitry,13,2,Casual Viewer
UC67PF6LqSby4CWQvr80Y9eg,@CompBusi,8,2,Casual Viewer
UCxeXqcQhIxm2yWW07dCo4Sw,@skrrtking8882,4,2,Casual Viewer
UCyztJyxHfv9IZWy7ZBO0AGQ,@luisgarrido2166,15,0,Casual Viewer
UCzqt2jICqCLF1llbusQBIHQ,@boburkhusanov,15,3,Casual Viewer
UCDtk0b152dIGQjSupqD2Z7Q,@akito392,15,3,Casual Viewer
UCYLU4afcC85nPv3VJqQBLIw,@leorubinstein9615,15,2,Casual Viewer
UCON44RaGk08Z2phmqFIliYg,@pallavijoshi319,16,3,Casual Viewer
UCf_ZIKFt_3NVrPZdqoANsOw,@Invest_karO,16,3,Casual Viewer
UCA2MErvxVJUYeHa__8VZMAA,@mananibhasin,16,2,Casual Viewer
UC9Wu_48kBKeemokwLKOQAiQ,@MrVrajitorul,16,0,Casual Viewer
UC1OgdPwZBu_IPqaMnYaZkZw,@TopGsClips-xp8dj,17,3,Casual Viewer
UCOKtKcDdJsHh47HzPJEzwZw,@programmersamyak,17,3,Casual Viewer
UCdX277bor_ULTSYdfzAGEew,@AnshuKumar-if7jz,17,3,Casual Viewer
UCZdYgoFeoHLQtp65baADykw,@pulkitchaurasia1780,17,0,Casual Viewer
UCHTPAEdSTtK8bYfOROpc33A,@TinytalesWorld-n7z,21,3,Casual Viewer
UC_mPoKtlz0aCBTeLLberVsw,@surendrakarpe8247,21,3,Casual Viewer
UCcs0zNk15NWHSLfMxD4WBYA,@HappyJuice-tv,21,3,Casual Viewer
UCkMDxYqNgJcSHWA_fG5I61g,@ankushpandey7045,21,3,Casual Viewer
UCPvT5VrzFd9YS-cAiG7LTjw,@ABHI-pd4wk,22,3,Casual Viewer
UCpIspc4mVuCZENjZWJKkc7g,@viniciusabrantes2445,21,2,Casual Viewer
UCD5SRXTJRrmcDAwTIElXiOQ,@AaronLandryd-x3h,22,3,Casual Viewer
UCTkF-Klgru2bIRTXwBhqC1w,@ZayedKhanZayedKhan-t6x,22,3,Casual Viewer
UC1h47lL9KTkzRq6IUKZCXcw,@MomgsYeduv,22,3,Casual Viewer
UCeI7SUNzzEd2ftL5Oj1lr8Q,@AdjbJv,26,3,Casual Viewer
UCDzx2XsiVeJYkIZIPOsURZQ,@JdhgvyFufhgfu,26,3,Casual Viewer
UCYsrGefaW09IsbstH-_zAWw,@muhammadsadiq-b3y,26,3,Casual Viewer
UCU_ILOZ7VNGd_1LeyGmhPyg,@KouakouaxelKouassi,26,3,Casual Viewer
UCOHPu3IY5sIoZvmaarXlmKQ,@jejun0tr,21,2,Casual Viewer
UChNqw2UbRybQwlZGWFE_weg,@liennguyenthi-b6p,26,3,Casual Viewer
UC0tjXxH5UYDkmb9qLhSbmuw,@TDf-k1f,28,3,Casual Viewer
UCC5o_wWVnx_pnX_J0ewMPpA,@FernandoArteaga-s1q,28,3,Casual Viewer
UCSlXiqqezWGkZJw0TyuPfDA,@anushkahdfc,28,3,Casual Viewer
UCoK9IBQ77kKeE1qJZAUTFWA,@dhartikoBoj,28,3,Casual Viewer
UCAr_GLsIOpHqLZqD5m4fcCg,@ataarono,28,3,Casual Viewer
UCvH32qKmAyzODrVajlu9vJg,@JsS-vib7zz,28,0,Casual Viewer
UC0rpY9Vg5GtxNs-G7sC1qGw,@inditiva6203,28,3,Casual Viewer
UCyOScUncKquzf3wtWuMjeSg,@TheEconomicMachine,31,0,Casual Viewer
UCYHO1fSTfliU1slvIcLyI5w,@c46236,31,0,Casual Viewer
UCL2bo5ZdzCOInZtxjqN5g2w,@NukiBruzel,31,3,Casual Viewer
UC0Sbr_D03Pu7q6wSvTnKU4Q,@Vercangetorix,31,3,Casual Viewer
UCTlzdb-dl2OGWcYQfWeQXQQ,@Sahilgodara8055,31,3,Casual Viewer
UC_QXyXUE6Lyd7LXEfqwy81g,@BoWohlfeil,31,3,Casual Viewer
UC8rXHD7brU9D-ShdZylXdfQ,@ChandanKumarSWF,33,3,Casual Viewer
UCrAeRzGDQAdjeklPGBO9S7w,@ERICDEAN-b2d,33,3,Casual Viewer
UCEr4pzsEM2IhM6DAQ_Bl6yQ,@LuckmanAbdi,33,3,Casual Viewer
UCQ841uGqLalSsDs200ABMhA,@kadenlindskog6355,33,3,Casual Viewer
UCOnHCabVKOR4N2IeHjpRmsQ,@nadim_haldarwa1738,33,3,Casual Viewer
UCCzBNzQDGZyCTpuAe9cWbJQ,@Avengerslife001,33,3,Casual Viewer
UCuoB9vOdt0b4CliceztF1WA,@MisterNiceguy-c9b7l,36,3,Casual Viewer
UCEBCo_keoP7EX5VG-h_Kzag,@gordonholding5621,36,3,Casual Viewer
UC7WA09Rbihn20YiDJPPmrgQ,@MoneyFossil,36,0,Casual Viewer
UC08_eDlHYPQ0IUOGfm9JZqQ,@annissakapor,36,3,Casual Viewer
UCEDfRXM-so_rNOUi54zOivg,@vasg1269,36,3,Casual Viewer
UCCzdGYBO1ARQ9svElVq_Nxw,@fredric27,37,3,Casual Viewer
